150ms 0 263468 0.263468
150ms 1 255700 0.2557
150ms 2 151208 0.151208
150ms 3 165878 0.165878
50ms 0 241933 0.241933
50ms 1 236743 0.236743
50ms 2 226361 0.226361
50ms 3 190026 0.190026
200ms 0 231990 0.23199
200ms 1 267210 0.26721
200ms 2 176711 0.176711
200ms 3 123449 0.123449
100ms 0 260440 0.26044
100ms 1 217108 0.217108
100ms 2 228618 0.228618
100ms 3 172874 0.172874
300ms 0 271080 0.27108
300ms 1 148049 0.148049
300ms 2 164298 0.164298
300ms 3 108328 0.108328
250ms 0 215320 0.21532
250ms 1 231074 0.231074
250ms 2 177688 0.177688
250ms 3 137216 0.137216
