250ms 0 109457 0.109457
250ms 1 194765 0.194765
250ms 2 80117.9 0.0801179
250ms 3 128640 0.12864
150ms 0 161590 0.16159
150ms 1 233809 0.233809
150ms 2 173777 0.173777
150ms 3 122321 0.122321
100ms 0 167683 0.167683
100ms 1 307156 0.307156
100ms 2 172874 0.172874
100ms 3 171971 0.171971
50ms 0 183030 0.18303
50ms 1 346425 0.346425
50ms 2 180322 0.180322
50ms 3 184610 0.18461
200ms 0 140601 0.140601
200ms 1 257731 0.257731
200ms 2 86211.4 0.0862114
200ms 3 122321 0.122321
300ms 0 112616 0.112616
300ms 1 222750 0.22275
300ms 2 38592 0.038592
300ms 3 80569.3 0.0805693
