1e-03 0 9704.42 0.00970442
1e-03 1 1579.79 0.00157979
1e-03 2 8350.32 0.00835032
1e-03 3 8124.63 0.00812463
5e-04 0 20762.9 0.0207629
5e-04 1 10607.2 0.0106072
5e-04 2 13315.4 0.0133154
5e-04 3 18054.7 0.0180547
1e-04 0 54389.9 0.0543899
1e-04 1 91176.4 0.0911764
1e-04 2 53712.8 0.0537128
1e-04 3 63868.6 0.0638686
5e-05 0 64997.1 0.0649971
5e-05 1 130220 0.13022
5e-05 2 76732.6 0.0767326
5e-05 3 95013.1 0.0950131
1e-05 0 167683 0.167683
1e-05 1 307156 0.307156
1e-05 2 172874 0.172874
1e-05 3 171971 0.171971
