5e-04 0 25502.3 0.0255023
5e-04 1 17829.1 0.0178291
5e-04 2 27984.8 0.0279848
5e-04 3 20085.9 0.0200859
1e-03 0 10832.8 0.0108328
1e-03 1 4739.37 0.00473937
1e-03 2 11058.5 0.0110585
1e-03 3 4739.37 0.00473937
1e-04 0 90273.7 0.0902737
1e-04 1 190026 0.190026
1e-04 2 66576.8 0.0665768
1e-04 3 85308.6 0.0853086
1e-05 0 260440 0.26044
1e-05 1 217108 0.217108
1e-05 2 228618 0.228618
1e-05 3 172874 0.172874
5e-05 0 111262 0.111262
5e-05 1 241256 0.241256
5e-05 2 170392 0.170392
5e-05 3 127286 0.127286
